datetime, generalTweets, generalAccounts, voiceTweets, voiceAccounts
2021-05-07-07-00-00,,,,
2021-05-07-08-00-00,116628,25748,100186,21625
2021-05-07-09-00-00,,,,
2021-05-07-10-00-00,116944,25783,100468,21659
2021-05-07-11-00-00,,,,
2021-05-07-12-00-00,117102,25802,100594,21680
2021-05-07-13-00-00,,,,
2021-05-07-14-00-00,117322,25821,100813,21705
2021-05-07-15-00-00,,,,
2021-05-07-16-00-00,117514,25851,101019,21734
2021-05-07-17-00-00,,,,
2021-05-07-18-00-00,117759,25891,101263,21773
2021-05-07-19-00-00,,,,
2021-05-07-20-00-00,118076,25932,101552,21811
2021-05-07-21-00-00,,,,
2021-05-07-22-00-00,118859,26001,102270,21874
2021-05-07-23-00-00,,,,
2021-05-08-00-00-00,119721,26087,103662,21988
2021-05-08-01-00-00,,,,
2021-05-08-02-00-00,120544,26199,105793,22081
2021-05-08-03-00-00,,,,
2021-05-08-04-00-00,120687,26229,106078,22102
2021-05-08-05-00-00,,,,
2021-05-08-06-00-00,120765,26237,106211,22117
2021-05-08-07-00-00,,,,
2021-05-08-08-00-00,120946,26251,106387,22133
2021-05-08-09-00-00,,,,
2021-05-08-10-00-00,121301,26282,106761,22167
2021-05-08-11-00-00,,,,
2021-05-08-12-00-00,121613,26318,107011,22204
2021-05-08-13-00-00,,,,
2021-05-08-14-00-00,121894,26351,107258,22239
2021-05-08-15-00-00,,,,
2021-05-08-16-00-00,122222,26405,107544,22291
2021-05-08-17-00-00,,,,
2021-05-08-18-00-00,122586,26464,107858,22344
2021-05-08-19-00-00,,,,
2021-05-08-20-00-00,122958,26513,108219,22387
2021-05-08-21-00-00,,,,
2021-05-08-22-00-00,124046,26605,109058,22463
2021-05-08-23-00-00,,,,
2021-05-09-00-00-00,125654,26713,109794,22534
2021-05-09-01-00-00,,,,
2021-05-09-02-00-00,127970,26864,110620,22687
2021-05-09-03-00-00,,,,
2021-05-09-04-00-00,128181,26900,110764,22716
2021-05-09-05-00-00,,,,
2021-05-09-06-00-00,128270,26919,110835,22735
2021-05-09-07-00-00,,,,
2021-05-09-08-00-00,128449,26943,110983,22754
2021-05-09-09-00-00,,,,
2021-05-09-10-00-00,128831,26984,111325,22801
2021-05-09-11-00-00,,,,
2021-05-09-12-00-00,129139,27028,111612,22839
2021-05-09-13-00-00,,,,
2021-05-09-14-00-00,129435,27085,111961,22883
2021-05-09-15-00-00,,,,
2021-05-09-16-00-00,129887,27148,112365,22934
2021-05-09-17-00-00,,,,
2021-05-09-18-00-00,130361,27235,112770,22994
2021-05-09-19-00-00,,,,
2021-05-09-20-00-00,130739,27294,113160,23043
2021-05-09-21-00-00,,,,
2021-05-09-22-00-00,,,,
2021-05-09-23-00-00,,,,
2021-05-10-00-00-00,,,,
2021-05-10-01-00-00,,,,
2021-05-10-02-00-00,,,,
2021-05-10-03-00-00,,,,
2021-05-10-04-00-00,,,,
2021-05-10-05-00-00,,,,
2021-05-10-06-00-00,,,,
2021-05-10-07-00-00,,,,
2021-05-10-08-00-00,,,,
2021-05-10-09-00-00,,,,
2021-05-10-10-00-00,,,,
2021-05-10-11-00-00,,,,
2021-05-10-12-00-00,,,,
2021-05-10-13-00-00,,,,
2021-05-10-14-00-00,,,,
2021-05-10-15-00-00,,,,
2021-05-10-16-00-00,,,,
2021-05-10-17-00-00,,,,
2021-05-10-18-00-00,,,,
2021-05-10-19-00-00,,,,
2021-05-10-20-00-00,,,,
2021-05-10-21-00-00,,,,
2021-05-10-22-00-00,,,,
2021-05-10-23-00-00,,,,
2021-05-11-00-00-00,,,,
2021-05-11-01-00-00,,,,
2021-05-11-02-00-00,,,,
2021-05-11-03-00-00,,,,
2021-05-11-04-00-00,,,,
2021-05-11-05-00-00,,,,
2021-05-11-06-00-00,,,,
2021-05-11-07-00-00,,,,
2021-05-11-08-00-00,,,,
2021-05-11-09-00-00,,,,
2021-05-11-10-00-00,,,,
2021-05-11-11-00-00,,,,
2021-05-11-12-00-00,,,,
2021-05-11-13-00-00,,,,
2021-05-11-14-00-00,,,,
2021-05-11-15-00-00,,,,
2021-05-11-16-00-00,,,,
2021-05-11-17-00-00,,,,
2021-05-11-18-00-00,,,,
2021-05-11-19-00-00,,,,
2021-05-11-20-00-00,,,,
2021-05-11-21-00-00,,,,
2021-05-11-22-00-00,,,,
2021-05-11-23-00-00,,,,
2021-05-12-00-00-00,,,,
2021-05-12-01-00-00,,,,
2021-05-12-02-00-00,,,,
2021-05-12-03-00-00,,,,
2021-05-12-04-00-00,,,,
2021-05-12-05-00-00,,,,
2021-05-12-06-00-00,,,,
2021-05-12-07-00-00,,,,
2021-05-12-08-00-00,,,,
2021-05-12-09-00-00,,,,
2021-05-12-10-00-00,,,,
2021-05-12-11-00-00,,,,
2021-05-12-12-00-00,,,,
2021-05-12-13-00-00,,,,
2021-05-12-14-00-00,,,,
2021-05-12-15-00-00,,,,
2021-05-12-16-00-00,,,,
2021-05-12-17-00-00,,,,
2021-05-12-18-00-00,,,,
2021-05-12-19-00-00,,,,
2021-05-12-20-00-00,,,,
2021-05-12-21-00-00,,,,
2021-05-12-22-00-00,,,,
2021-05-12-23-00-00,,,,
2021-05-13-00-00-00,,,,
2021-05-13-01-00-00,,,,
2021-05-13-02-00-00,,,,
2021-05-13-03-00-00,,,,
2021-05-13-04-00-00,,,,
2021-05-13-05-00-00,,,,
2021-05-13-06-00-00,,,,
2021-05-13-07-00-00,,,,
2021-05-13-08-00-00,,,,
2021-05-13-09-00-00,,,,
2021-05-13-10-00-00,,,,
2021-05-13-11-00-00,,,,
2021-05-13-12-00-00,,,,
2021-05-13-13-00-00,,,,
2021-05-13-14-00-00,,,,
2021-05-13-15-00-00,,,,
2021-05-13-16-00-00,,,,
2021-05-13-17-00-00,,,,
2021-05-13-18-00-00,,,,
2021-05-13-19-00-00,,,,
2021-05-13-20-00-00,,,,
2021-05-13-21-00-00,,,,
2021-05-13-22-00-00,,,,
2021-05-13-23-00-00,,,,
2021-05-14-00-00-00,,,,
2021-05-14-01-00-00,,,,
2021-05-14-02-00-00,,,,
2021-05-14-03-00-00,,,,
2021-05-14-04-00-00,,,,
2021-05-14-05-00-00,,,,
2021-05-14-06-00-00,,,,
2021-05-14-07-00-00,,,,
2021-05-14-08-00-00,,,,
2021-05-14-09-00-00,,,,
2021-05-14-10-00-00,,,,
2021-05-14-11-00-00,,,,
2021-05-14-12-00-00,,,,
2021-05-14-13-00-00,,,,
2021-05-14-14-00-00,,,,
2021-05-14-15-00-00,,,,
2021-05-14-16-00-00,,,,
2021-05-14-17-00-00,,,,
2021-05-14-18-00-00,,,,
2021-05-14-19-00-00,,,,
2021-05-14-20-00-00,,,,
2021-05-14-21-00-00,,,,
2021-05-14-22-00-00,,,,
2021-05-14-23-00-00,,,,
2021-05-15-00-00-00,,,,
2021-05-15-01-00-00,,,,
2021-05-15-02-00-00,,,,
2021-05-15-03-00-00,,,,
2021-05-15-04-00-00,,,,
2021-05-15-05-00-00,,,,
2021-05-15-06-00-00,,,,
2021-05-15-07-00-00,,,,
2021-05-15-08-00-00,,,,
2021-05-15-09-00-00,,,,
2021-05-15-10-00-00,,,,
2021-05-15-11-00-00,,,,
2021-05-15-12-00-00,,,,
2021-05-15-13-00-00,,,,
2021-05-15-14-00-00,,,,
2021-05-15-15-00-00,,,,
2021-05-15-16-00-00,,,,
2021-05-15-17-00-00,,,,
2021-05-15-18-00-00,,,,
2021-05-15-19-00-00,,,,
2021-05-15-20-00-00,,,,
2021-05-15-21-00-00,,,,
2021-05-15-22-00-00,,,,
2021-05-15-23-00-00,,,,
2021-05-16-00-00-00,,,,
2021-05-16-01-00-00,,,,
2021-05-16-02-00-00,,,,
2021-05-16-03-00-00,,,,
2021-05-16-04-00-00,,,,
2021-05-16-05-00-00,,,,
2021-05-16-06-00-00,,,,
2021-05-16-07-00-00,,,,
2021-05-16-08-00-00,,,,
2021-05-16-09-00-00,,,,
2021-05-16-10-00-00,,,,
2021-05-16-11-00-00,,,,
2021-05-16-12-00-00,,,,
2021-05-16-13-00-00,,,,
2021-05-16-14-00-00,,,,
2021-05-16-15-00-00,,,,
2021-05-16-16-00-00,,,,
2021-05-16-17-00-00,,,,
2021-05-16-18-00-00,,,,
2021-05-16-19-00-00,,,,
